year,title,avg_vote,movie_rating
2005,The Naked Monster,5.6,good
2005,What Is It?,5.6,good
2005,Fantastic Four,5.7,good
2005,Corpse Bride,7.3,good
2005,Star Wars: Episode III - Revenge of the Sith,7.5,good
2005,Shooting Vegetarians,4.8,good
2005,The Prodigy,5.5,good
2005,Angels with Angles,4.8,good
